open_time,open,high,low,close
1788066000000,78083.1,78194.4,78083.0,78122.5
1788066900000,78122.4,78122.5,78108.1,78114.9
1788067800000,78115.0,78115.0,78087.7,78100.0
1788068700000,78100.0,78111.3,78092.1,78108.8
1788069600000,78108.8,78121.0,78088.3,78099.8
1788070500000,78099.7,78171.7,78099.7,78156.1
1788071400000,78156.1,78276.9,78153.5,78215.4
1788072300000,78215.3,78289.2,78200.0,78253.9
1788073200000,78253.9,78266.0,78219.4,78233.0
1788074100000,78233.0,78233.0,78191.9,78192.0
1788075000000,78192.0,78192.0,78106.8,78108.1
1788075900000,78108.1,78129.9,78073.9,78082.6
1788076800000,78082.7,78175.2,78082.7,78122.3
1788077700000,78122.2,78178.8,78122.2,78129.7
1788078600000,78129.8,78129.8,78000.0,78038.4
1788079500000,78038.5,78061.5,78000.0,78049.0
1788080400000,78049.1,78072.8,78036.8,78072.8
1788081300000,78072.8,78091.8,77952.8,77960.3
1788082200000,77960.4,78026.8,77956.6,78007.5
1788083100000,78007.6,78033.9,77962.0,77967.7
1788084000000,77967.7,78046.2,77933.4,77983.2
1788084900000,77983.2,78099.9,77963.2,78013.5
1788085800000,78013.5,78089.4,78013.5,78081.0
1788086700000,78081.0,78122.1,78081.0,78119.2
1788087600000,78119.1,78173.7,78118.8,78139.6
1788088500000,78139.6,78198.7,78120.7,78198.7
1788089400000,78198.7,78212.8,78116.7,78155.3
1788090300000,78155.3,78159.1,78088.1,78141.5
1788091200000,78141.5,78688.0,78141.4,78624.1
1788092100000,78624.2,78624.2,78451.0,78593.5
1788093000000,78593.5,78824.0,78508.7,78614.8
1788093900000,78614.7,78750.1,78547.5,78750.1
1788094800000,78750.1,78798.3,78586.1,78595.3
1788095700000,78595.2,78694.6,78550.0,78686.7
1788096600000,78686.6,78788.0,78638.6,78754.2
1788097500000,78754.1,78939.9,78754.1,78817.7
1788098400000,78817.7,78906.2,78736.0,78882.0
1788099300000,78882.0,78899.4,78752.8,78822.5
1788100200000,78822.5,78898.7,78685.3,78728.0
1788101100000,78727.9,78790.0,78687.9,78745.8
1788102000000,78745.8,78848.0,78613.8,78635.9
1788102900000,78635.9,78808.7,78591.3,78750.4
1788103800000,78750.4,78825.2,78748.7,78823.0
1788104700000,78823.1,78877.6,78748.8,78791.1
1788105600000,78791.2,79176.9,78707.4,79084.9
1788106500000,79085.0,79222.0,78976.3,79004.4
1788107400000,79004.4,79231.2,78980.8,79163.1
1788108300000,79163.0,79384.4,79100.3,79304.9
1788109200000,79304.9,79304.9,79100.0,79142.1
1788110100000,79142.2,79142.2,78737.0,78902.5
1788111000000,78902.5,79027.0,78838.9,79007.8
1788111900000,79007.7,79049.9,78922.4,78985.6
1788112800000,78985.7,79040.0,78728.7,78812.5
1788113700000,78812.5,78974.7,78812.4,78974.7
1788114600000,78974.7,79147.1,78974.7,79058.0
1788115500000,79057.9,79058.3,78981.1,79005.0
1788116400000,79005.1,79014.0,78901.9,79000.4
1788117300000,79000.4,79008.8,78880.0,78882.3
1788118200000,78882.4,78916.7,78737.6,78754.5
1788119100000,78754.6,78837.9,78678.0,78828.2
1788120000000,78828.3,78892.0,78796.2,78826.5
1788120900000,78826.5,78899.8,78804.1,78804.1
1788121800000,78804.1,78859.3,78362.0,78450.9
1788122700000,78451.0,78713.8,78443.0,78561.5
1788123600000,78561.5,78561.5,78174.8,78475.4
1788124500000,78475.4,78636.4,78436.3,78607.5
1788125400000,78607.4,78709.4,78563.9,78609.5
1788126300000,78609.5,78667.0,78511.6,78623.7
1788127200000,78623.6,78776.4,78488.0,78534.2
1788128100000,78534.2,78534.2,78251.9,78351.1
1788129000000,78351.1,78512.0,78238.0,78419.9
1788129900000,78420.0,78479.2,78340.5,78390.0
1788130800000,78390.0,78429.1,78271.3,78334.3
1788131700000,78334.3,78375.0,77614.8,77647.9
1788132600000,77647.9,77857.3,77308.0,77440.1
1788133500000,77440.0,77683.3,76947.2,77634.6
1788134400000,77634.6,77786.3,77393.5,77726.3
1788135300000,77726.3,77946.0,77680.0,77872.0
1788136200000,77871.9,78166.7,77850.0,78001.5
1788137100000,78001.5,78007.3,77882.9,77903.8
1788138000000,77903.8,77966.1,77524.6,77622.3
1788138900000,77622.3,77823.2,77540.5,77744.0
1788139800000,77743.9,77922.0,77609.3,77713.2
1788140700000,77713.1,77821.2,77585.7,77609.9
1788141600000,77609.9,77972.7,77488.0,77912.8
1788142500000,77912.8,77922.2,77780.9,77840.5
1788143400000,77840.5,77895.6,77674.6,77674.6
1788144300000,77674.7,77735.0,77350.7,77440.0
1788145200000,77440.0,77654.6,77358.3,77617.5
1788146100000,77617.5,77735.0,77543.2,77689.0
1788147000000,77689.1,77813.0,77632.1,77800.0
1788147900000,77800.0,77853.5,77715.9,77727.2
1788148800000,77727.2,77743.6,77540.8,77563.1
1788149700000,77563.1,77574.6,77448.2,77480.1
1788150600000,77480.0,77564.4,77427.2,77541.8
1788151500000,77541.8,77628.9,77437.3,77586.4
1788152400000,77586.4,77784.1,77480.0,77728.7
1788153300000,77728.6,78133.2,77727.3,77977.7
1788154200000,77977.7,78036.7,77842.6,77941.8
1788155100000,77941.8,78036.6,77922.0,77984.9
1788156000000,77984.8,78050.0,77761.4,77995.7
1788156900000,77995.6,78094.7,77928.7,77986.9
1788157800000,77986.9,78135.2,77887.0,78053.1
1788158700000,78053.1,78097.4,77980.1,78049.3
1788159600000,78049.3,78142.6,78000.0,78097.2
1788160500000,78097.2,78294.0,78097.1,78182.4
1788161400000,78182.4,78262.0,78095.2,78243.6
1788162300000,78243.5,78261.7,78160.6,78168.2
1788163200000,78168.2,78325.0,78017.0,78132.7
1788164100000,78132.7,78132.7,77950.0,78064.6
1788165000000,78064.7,78450.0,78045.0,78299.9
1788165900000,78299.9,78487.7,78281.5,78439.1
